시장	업종구분	종목명	종목코드	시가총액	유통비율
Q	제약	경동제약	'011040	"1,828"	"42.1"
K	화학	롯데케미칼	'011170	"27,590"	"44.0"
K	'종이/목재	태림포장	'011280	"1,561"	"28.4"
K	비금속	부산산업	'011390	"1,191"	"48.3"
Q	건설	세보엠이씨	'011560	"1,209"	"46.0"
K	화학	SKC	'011790	"34,801"	"49.1"
K	금속	영흥	'012160	"526"	"42.1"
K	금융	경동인베스트	'012320	"1,488"	"39.6"
K	금융	HDC	'012630	"12,576"	"41.0"
K	'종이/목재	모나리자	'012690	"1,011"	"48.9"
Q	건설	동원개발	'013120	"2,443"	"34.2"
K	건설	일성건설	'013360	"1,063"	"39.6"
K	'운송장비/부품	화승코퍼레이션	'013520	"1,036"	"44.0"
K	건설	까뮤이앤씨	'013700	"667"	"46.4"
K	'운송장비/부품	지엠비코리아	'013870	"763"	"40.8"
K	'종이/목재	대영포장	'014160	"1,275"	"37.1"
K	화학	영보화학	'014440	"897"	"46.5"
Q		부방	'014470	"996"	"42.0"
Q	제약	고려제약	'014570	"541"	"48.2"
K	'음식료/담배	사조씨푸드	'014710	"1,212"	"20.5"
K	화학	동원시스템즈	'014820	"8,857"	"16.6"
Q	'종이/목재	삼륭물산	'014970	"989"	"18.1"
K	'섬유/의류	인디에프	'014990	"879"	"33.0"
K	'운송장비/부품	대창단조	'015230	"1,689"	"42.5"
K	'전기/전자	에이엔피	'015260	"185"	"46.4"
K	일반서비스	INVENI	'015360	"3,222"	"30.8"
Q	'전기/전자	코콤	'015710	"763"	"35.5"
K	'전기/가스	한국전력	'015760	"176,219"	"45.6"
K	금융	일진홀딩스	'015860	"2,551"	"37.8"
K	화학	태경산업	'015890	"1,570"	"38.0"
K	금속	KG스틸	'016380	"6,241"	"38.1"
K	'섬유/의류	한세예스24홀딩스	'016450	"1,652"	"18.4"
K	'종이/목재	신대양제지	'016590	"5,231"	"16.3"
K	일반서비스	대성홀딩스	'016710	"1,677"	"27.0"
K	'운송장비/부품	두올	'016740	"1,036"	"48.4"
K	제조	퍼시스	'016800	"5,221"	"23.1"
Q	'전기/전자	인터엠	'017250	"219"	"48.2"
K	'기계/장비	우신시스템	'017370	"1,348"	"46.3"
K	'전기/가스	서울가스	'017390	"2,975"	"26.8"
Q	금속	삼현철강	'017480	"729"	"39.8"
K	'기계/장비	수산세보틱스	'017550	"1,156"	"47.2"
Q	'종이/목재	대림제지	'017650	"636"	"30.7"
K	'음식료/담배	풀무원	'017810	"4,582"	"36.7"
K	'전기/전자	광전자	'017900	"1,128"	"33.8"
K	유통	E1	'017940	"5,255"	"38.9"
Q	'음식료/담배	진로발효	'018120	"1,248"	"34.4"
K	화학	애경산업	'018250	"4,043"	"30.0"
Q	금속	삼목에스폼	'018310	"3,278"	"29.8"
K	유통	SK가스	'018670	"20,478"	"24.4"
Q	제약	서울제약	'018680	"405"	"40.6"
K	'기계/장비	한온시스템	'018880	"20,465"	"23.6"
Q	유통	베뉴지	'019010	"1,147"	"31.4"
K	금속	세아특수강	'019440	"1,212"	"27.2"
K	일반서비스	대교	'019680	"2,058"	"12.7"
Q	'기계/장비	서연탑메탈	'019770	"436"	"49.2"
K	'전기/전자	롯데에너지머티리얼즈	'020150	"12,044"	"41.1"
Q	금속	대동금속	'020400	"196"	"47.2"
K	'운송/창고	아시아나항공	'020560	"19,693"	"36.1"
Q	금속	대호특수강	'021040	"317"	"43.8"
Q	건설	KCC건설	'021320	"1,104"	"24.2"
K	일반서비스	포스코DX	'022100	"35,576"	"34.4"
K	'운송장비/부품	삼원강재	'023000	"1,016"	"37.3"
K	'음식료/담배	MH에탄올	'023150	"390"	"43.1"
K	일반서비스	한국종합기술	'023350	"609"	"40.9"
Q	비금속	유진기업	'023410	"2,818"	"49.6"
K	화학	동남합성	'023450	"1,199"	"36.3"
K	유통	롯데쇼핑	'023530	"20,962"	"39.5"
K	IT 서비스	다우기술	'023590	"13,505"	"48.8"
Q	'종이/목재	삼보판지	'023600	"1,564"	"32.3"
Q	금융	한국캐피탈	'023760	"2,304"	"18.5"
K	'운송장비/부품	인팩	'023810	"599"	"48.3"
Q	'음식료/담배	풍국주정	'023900	"1,181"	"32.2"
K	화학	WISCOM	'024070	"313"	"47.6"
K	금속	디씨엠	'024090	"1,563"	"30.1"
K	은행	기업은행	'024110	"135,243"	"31.3"
Q	'운송/창고	유성티엔에스	'024800	"1,089"	"28.2"
Q	'운송장비/부품	세원물산	'024830	"732"	"21.6"
Q	'전기/전자	HLB이노베이션	'024850	"2,908"	"48.1"
Q	'운송장비/부품	경창산업	'024910	"601"	"49.2"
K	화학	KPX케미칼	'025000	"2,311"	"33.9"
Q	'전기/전자	DH오토웨어	'025440	"383"	"22.4"
K	유통	SJM홀딩스	'025530	"556"	"29.1"
Q	통신	한국정보통신	'025770	"3,078"	"11.1"
K	금속	이구산업	'025820	"1,612"	"49.5"
K	화학	남해화학	'025860	"3,964"	"40.5"
Q	유통	신라에스지	'025870	"243"	"41.8"
K	'기계/장비	한국주강	'025890	"214"	"41.6"
Q	'종이/목재	동화기업	'025900	"4,323"	"23.1"
Q	건설	동신건설	'025950	"2,159"	"31.5"
K	금속	부국철강	'026940	"468"	"48.0"
시장	업종구분	종목명	종목코드	시가총액	유통비율
K	유통	동서	'026960	"26,470"	"30.3"
Q	금융	아주IB투자	'027360	"3,108"	"36.1"
K	금융	BGF	'027410	"4,087"	"30.3"
Q	금융	대성창투	'027830	"1,035"	"48.3"
K	'종이/목재	한국제지	'027970	"1,571"	"15.3"
K	건설	동아지질	'028100	"2,188"	"44.4"
K	'운송/창고	팬오션	'028670	"20,795"	"45.1"
K	'의료/정밀기기	케이씨	'029460	"3,142"	"42.0"
K	'전기/전자	신도리코	'029530	"4,889"	"36.9"
K	금융	삼성카드	'029780	"57,003"	"20.2"
Q		코엔텍	'029960	"4,343"	"13.3"
Q	화학	원익홀딩스	'030530	"4,125"	"49.6"
K	증권	교보증권	'030610	"9,242"	"14.2"
Q	'출판/매체복제	양지사	'030960	"1,414"	"18.2"
K	보험	서울보증보험	'031210	"28,557"	"14.7"
Q	유통	에스에이엠티	'031330	"2,840"	"47.2"
K	유통	신세계인터내셔날	'031430	"3,789"	"43.4"
K	일반서비스	신세계푸드	'031440	"1,367"	"44.5"
Q	'기계/장비	피에스케이홀딩스	'031980	"7,601"	"32.8"
Q	유통	다우데이타	'032190	"6,442"	"36.7"
Q	제약	한국파마	'032300	"1,665"	"30.9"
Q	'전기/전자	TJ미디어	'032540	"779"	"42.0"
K	금속	황금에스티	'032560	"1,015"	"45.2"
Q	IT 서비스	유비케어	'032620	"2,140"	"44.6"
K	보험	삼성생명	'032830	"249,600"	"45.1"
Q	일반서비스	더라미	'032860	"487"	"46.7"
Q	'전기/전자	동일기연	'032960	"442"	"21.8"
K	'전기/전자	KH 필룩스	'033180	"1,382"	"53.9"
Q	'전기/전자	모아텍	'033200	"528"	"13.4"
Q	유통	코웰패션	'033290	"1,252"	"24.9"
Q	'섬유/의류	좋은사람들	'033340	"1,281"	"48.2"
Q	'전기/전자	블루콤	'033560	"580"	"49.1"
K	'음식료/담배	무학	'033920	"2,311"	"31.5"
K	'오락/문화	파라다이스	'034230	"12,472"	"48.5"
K	일반서비스	NICE	'034310	"4,545"	"43.5"
K	'전기/가스	인천도시가스	'034590	"1,118"	"24.8"
K	금융	SK	'034730	"138,190"	"49.7"
Q	금융	해성산업	'034810	"2,458"	"36.7"
K	금융	한국토지신탁	'034830	"3,179"	"49.9"
Q	일반서비스	한국기업평가	'034950	"4,622"	"23.5"
K	화학	백산	'035150	"3,049"	"41.8"
Q	'오락/문화	골드앤에스	'035290	"207"	"47.1"
Q	일반서비스	솔본	'035610	"1,140"	"45.6"
Q	'음식료/담배	이지홀딩스	'035810	"2,645"	"48.8"
Q	건설	서희건설	'035890	"4,042"	"20.8"
Q	'오락/문화	예림당	'036000	"880"	"45.7"
Q	유통	케이티알파	'036030	"2,206"	"27.0"
Q	IT 서비스	서울평가정보	'036120	"888"	"37.6"
Q	'의료/정밀기기	오상헬스케어	'036220	"3,120"	"38.3"
K	'전기/가스	한국가스공사	'036460	"35,817"	"46.7"
K	금융	SNT홀딩스	'036530	"8,869"	"24.3"
